,variety,pack_count
1,IITA-TMS-IBA000070,9
2,IITA-TMS-IBA30572,8
3,IITA-TMS-IBA961632,9
4,IITA-TMS-IBA980581,9
5,K195,9
6,TMEB2,8
7,TMEB419,8
8,TMEB693,10
9,TMEB7,9
10,TMS13F1049P0001,9
11,TMS13F1053P0010,10
12,TMS13F1088P0007,8
13,TMS13F1153P0001,9
14,TMS13F1160P0004,9
15,TMS13F1307P0016,9
16,TMS13F1343P0022,9
17,TMS13F1343P0044,9
18,TMS13F2110P0008,10
19,TMS14F1035P0004,9
20,TMS14F1195P0005,9
21,TMS14F1223P0007,10
22,TMS14F1287P0008,8
23,TMS14F1291P0003,8
24,TMS14F1301P0013,9
25,TMS14F1306P0015,9
26,TMS14F1310P0004,8
27,TMS14F1310P0015,9